cleanprice	dirtyprice	netwage	timeendowment	virtualinc	leisuregood	netwageinst	cleangood	dirtygood	obs
1.606	1.049	13.86305	70	185.3846	70		102.7876	19.35909	170
1.609667	1.061333	6.397327	70	-54.34663	45	6.385244	51.52166	21.34471	171
1.609667	1.061333	11.2829	70	316.6456	30	9.563519	446.4135	46.53074	172
1.609667	1.061333	11.58543	70	225.4583	70		128.914	16.91234	173
1.606	1.049	6.829074	70	180.9824	35	8.823692	228.9491	49.86434	174
1.606	1.049	8.816593	70	118.8676	40	7.108835	236.1696	3.886485	175
1.606	1.049	7.107541	70	68.64291	15	6.01435	266.2731	30.43191	176
1.609667	1.061333	6.712026	70	20.01898	30	8.872673	171.7747	11.30653	177
1.606	1.049	7.341477	70	-83.59613	30	9.073082	109.8928	32.00681	178
1.609667	1.061333	8.295114	70	88.36853	30	8.515418	204.211	86.17608	179
1.606	1.049	10.46213	70	-280.1877	30	7.180542	77.81702	12.70111	180
1.609667	1.061333	5.667131	70	93.03519	22	8.349216	204.4884	33.82469	181
1.609667	1.061333	14.07909	70	126.0744	70		66.15842	18.44983	182
1.606	1.049	8.358652	70	65.58644	40	9.492586	170.3231	40.80758	183
1.606	1.049	8.83512	70	77.38364	30	8.840705	239.7859	43.55796	184
1.606	1.049	11.8743	70	-108.4722	30	10.38991	214.8434	20.45905	185
1.609667	1.061333	17.7689	70	562.8461	70		339.6308	15.22033	186
1.609667	1.061333	13.77993	70	-66.60123	30	8.688872	290.397	16.16254	187
1.606	1.049	7.560606	70	70.85898	15	7.522062	274.3079	43.99795	188
1.609667	1.061333	12.62144	70	121.8141	52	8.354532	184.8926	48.41516	189
1.606	1.049	6.020735	70	-81.589	30	7.569211	88.34005	16.55506	190
1.609667	1.061333	10.76299	70	-153.6059	30	10.19594	156.6568	23.31853	191
1.609667	1.061333	5.332652	70	384.3286	30	8.464993	358.3757	19.569	192
1.606	1.049	8.220271	70	-97.12894	20	7.611274	186.2008	14.15267	193
1.609667	1.061333	9.794957	70	179.8771	70		95.39303	24.80477	194
1.606	1.049	6.795625	70	-33.98679	45	8.76078	79.30597	8.13962	195
1.609667	1.061333	8.113341	70	-57.7312	30	10.19594	158.5766	10.87972	196
1.606	1.049	14.42893	70	322.3846	70		189.2422	17.59918	197
1.609667	1.061333	12.25762	70	-399.3619	20	11.0441	129.064	5.435833	198
1.606	1.049	5.50899	70	-45.17377	25	8.625621	121.1083	7.8463	199
1.606	1.049	5.790289	70	-73.0845	30	10.22845	93.64866	7.747679	200
1.609667	1.061333	16.25397	70	143.5212	70		83.34898	8.816348	201
1.606	1.049	9.706087	70	-160.6473	30	7.522062	115.8516	39.59815	202
1.609667	1.061333	7.542204	70	199.4262	40	7.008339	248.2119	24.64244	203
1.609667	1.061333	9.524189	70	-172.6791	30	7.48714	124.3807	7.610167	204
1.606	1.049	10.24677	70	-119.8191	20	10.19594	232.4816	18.25915	205
1.606	1.049	7.575271	70	37.69244	35	8.823692	157.4265	47.66444	206
1.609667	1.061333	6.225356	70	-63.32191	30	8.379578	94.57286	31.52783	207
1.609667	1.061333	11.05504	70	156.5508	70		91.43504	8.829309	208
1.609667	1.061333	10.06639	70	219.5317	25	9.331006	395.4355	33.9196	209
1.606	1.049	13.72238	70	-14.60669	30	10.19594	324.0612	13.19938	210
1.609667	1.061333	10.68812	70	278.2308	70		159.2303	20.65617	211
1.606	1.049	11.5896	70	-230.1414	27	9.833471	154.1695	19.65242	212
1.606	1.049	6.849716	70	110.6474	25	7.825533	248.0841	19.50576	213
1.606	1.049	9.611192	70	26.26389	30	11.0441	248.5511	10.99949	214
1.609667	1.061333	4.980945	70	68.11135	47	7.265485	95.56446	27.17916	215
1.606	1.049	8.493879	70	224.2397	20	9.774086	372.1303	48.89651	216
1.609667	1.061333	9.268697	70	-206.3918	30	7.189777	95.23562	10.41942	217
1.606	1.049	11.45268	70	176.106	32	10.84639	354.2964	40.33145	218
1.609667	1.061333	10.70043	70	-271.4019	30	7.611274	90.12856	10.87167	219
1.609667	1.061333	7.159351	70	453.8786	20	10.19594	496.5672	11.81388	220
1.609667	1.061333	5.15342	70	34.16357	32	7.611274	122.8117	30.44067	221
1.606	1.049	4.833094	70	-106.5654	22	7.48714	67.82259	15.72927	222
1.606	1.049	6.602825	70	106.119	10	10.33719	306.0518	10.26619	223
1.609667	1.061333	7.659545	70	69.10892	25	10.70612	243.9229	19.93139	224
1.609667	1.061333	8.55807	70	171.1615	70		87.21826	28.99111	225
1.609667	1.061333	13.38245	70	245.4692	70		146.2845	9.422111	226
1.606	1.049	9.716869	70	206.6137	30	10.42518	356.7751	21.26567	227
1.609667	1.061333	8.518023	70	-12.95172	30	7.517054	192.1564	17.39467	228
1.606	1.049	13.37354	70	72.94079	70		44.57096	1.296302	229
1.606	1.049	9.024447	70	183.2308	70		100.9675	20.0924	230
1.609667	1.061333	13.17664	70	-289.5272	30	11.56872	118.1205	44.66443	231
1.606	1.049	7.522362	70	175.394	30	6.664147	281.4326	23.17225	232
1.609667	1.061333	7.86588	70	-15.73135	30	7.398963	174.8451	16.45246	233
1.606	1.049	11.36487	70	-190.989	30	9.584575	146.8951	26.39877	234
1.609667	1.061333	8.449873	70	-170.6674	25	6.664147	115.9103	21.67085	235
1.609667	1.061333	9.157717	70	-87.46249	30	7.265485	133.7114	59.93912	236
1.609667	1.061333	7.77705	70	161.3386	10	9.584575	362.8797	41.31233	237
1.609667	1.061333	7.56746	70	-44.90302	40	7.580621	104.863	12.55613	238
1.606	1.049	10.85205	70	108.1858	70		62.35769	7.663823	239
1.609667	1.061333	6.893847	70	145.709	30	7.591007	247.3359	21.98605	240
1.609667	1.061333	7.587792	70	83.62292	30	6.385244	229.0847	17.32219	241
1.609667	1.061333	9.283854	70	120.492	30	8.354532	284.8177	31.45536	242
1.606	1.049	5.56202	70	-63.14906	40	7.591007	56.5308	12.31942	243
