cleanprice	dirtyprice	netwage	leisuregood	cleangood	dirtygood	obs
1.609667	1.061333	12.22138	45	283.0854	42.47198	345
1.609667	1.061333	9.637195	25	201.1047	20.00387	346
1.606	1.049	11.96423	30	590.921	51.55093	347
1.606	1.049	17.68219	70	118.8604	22.22695	348
1.606	1.049	9.154218	30	341.6395	50.7443	349
1.606	1.049	16.1992	70	83.66222	9.679547	350
1.609667	1.061333	9.136134	70	55.01552	3.347605	351
1.606	1.049	14.13352	70	127.538	6.773927	352
1.609667	1.061333	9.580747	30	383.602	36.09393	353
1.609667	1.061333	12.13848	20	196.1945	35.29668	354
1.606	1.049	4.521018	20	236.1816	18.18582	355
1.609667	1.061333	7.229597	22	567.0668	26.59934	356
1.606	1.049	10.4843	70	73.97739	21.59566	357
1.606	1.049	3.100868	30	552.8197	1.759918	358
1.606	1.049	8.730623	34	115.2249	26.32544	359
1.609667	1.061333	5.479837	5	357.5394	67.25938	360
1.606	1.049	14.63258	22	334.7902	29.77194	361
1.609667	1.061333	5.330782	30	193.2866	46.02208	362
1.606	1.049	3.366358	30	60.46443	12.06606	363
1.609667	1.061333	4.60682	18	73.04427	34.5719	364
1.609667	1.061333	8.153144	30	229.8135	20.94608	365
1.606	1.049	5.577162	30	208.0108	31.34854	366
1.609667	1.061333	6.047628	35	105.8509	17.75706	367
1.609667	1.061333	6.643622	20	138.992	37.39853	368
1.606	1.049	11.29306	30	120.1983	47.88443	369
1.606	1.049	12.46382	70	126.3052	18.84579	370
1.606	1.049	4.961367	45	1555.345	10.26619	371
1.609667	1.061333	8.15046	10	207.2002	10.99302	372
1.606	1.049	10.30095	70	283.6957	76.11645	373
1.606	1.049	7.08908	30	88.99319	9.166239	374
1.606	1.049	11.96676	70	34.10559	13.7408	375
1.606	1.049	9.66579	30	603.1973	80.16331	376
1.606	1.049	14.00143	15	1082.072	49.93767	377
1.606	1.049	19.65582	50	245.4019	21.99897	378
1.609667	1.061333	8.649241	30	93.17506	6.523	379
1.606	1.049	6.015212	35	167.6525	13.4927	380
1.609667	1.061333	11.67951	70	93.66488	7.972555	381
1.609667	1.061333	6.580771	22	59.89057	17.39467	382
1.606	1.049	7.918756	30	132.7354	15.03263	383
1.609667	1.061333	6.219192	26	310.2291	31.81774	384
1.606	1.049	8.69884	20	236.1217	12.83273	385
1.606	1.049	4.686749	30	161.3327	31.62977	386
1.609667	1.061333	13.84133	70	58.08736	18.44983	387
1.606	1.049	9.407017	33	708.8256	45.42242	388
1.606	1.049	9.539637	30	218.1004	13.19938	389
1.606	1.049	10.74837	10	221.6568	61.81711	390
1.609667	1.061333	5.270556	30	132.9775	29.21223	391
1.606	1.049	7.57661	20	184.6202	23.39224	392
1.606	1.049	19.37046	30	238.5466	29.36863	393
1.609667	1.061333	4.285712	50	83.93999	17.39467	394
1.606	1.049	7.831151	20	469.2499	26.03212	395
1.609667	1.061333	7.73594	40	225.9904	17.03228	396
1.606	1.049	7.487357	30	158.0731	9.166239	397
1.609667	1.061333	11.72782	30	59.14985	21.30847	398
1.606	1.049	8.698394	20	79.38979	62.47708	399
1.606	1.049	5.411607	30	235.8703	1.319938	400
1.606	1.049	16.03115	70	54.94755	13.33617	401
1.606	1.049	9.464527	25	186.3445	24.2722	402
1.606	1.049	6.958547	40	224.8898	16.86588	403
1.609667	1.061333	14.86099	70	130.3657	29.08232	404
1.606	1.049	11.9609	15	676.6452	85.20935	405
1.606	1.049	4.79146	30	164.9481	30.28161	406
1.606	1.049	6.452904	30	118.2824	40.47811	407
1.606	1.049	9.43014	25	274.1402	34.39173	408
1.609667	1.061333	7.31415	30	343.6091	20.29378	409
1.609667	1.061333	6.208064	15	356.1058	31.3104	410
1.609667	1.061333	6.267231	30	118.8732	18.40936	411
1.609667	1.061333	8.453713	70	104.1305	13.40839	412
1.606	1.049	6.781929	70	153.0798	2.566547	413
1.606	1.049	9.468772	70	82.12951	16.57256	414
1.606	1.049	10.91737	30	211.5504	20.16573	415
1.609667	1.061333	12.13689	30	702.0924	40.64191	416
1.606	1.049	6.249679	30	110.8262	10.88894	417
1.609667	1.061333	3.137527	30	107.5134	58.33202	418
1.609667	1.061333	10.01099	63	95.34942	22.8305	419
1.609667	1.061333	16.28169	70	41.75998	17.66511	420
1.609667	1.061333	5.820938	40	38.64871	17.39467	421
1.609667	1.061333	10.83331	30	190.5816	26.2787	422
1.606	1.049	7.267103	32	113.8639	54.99743	423
1.609667	1.061333	13.87004	25	267.9604	27.68651	424
1.609667	1.061333	8.757886	25	540.5204	46.9656	425
1.609667	1.061333	12.87453	70	49.84226	5.381201	426
1.606	1.049	14.35654	47	97.00788	62.37805	427
1.606	1.049	10.44608	30	454.5095	35.85833	428
1.609667	1.061333	6.745855	30	68.85085	2.246811	429
1.606	1.049	6.382187	30	42.04186	30.79856	430
1.606	1.049	10.0673	30	170.7898	16.57256	431
1.606	1.049	12.0114	20	320.9718	33.73176	432
1.606	1.049	8.034334	10	26.60695	5.499743	433
1.609667	1.061333	15.71068	70	168.8883	16.3075	434
1.606	1.049	9.9737	22	319.6666	36.5183	435
1.606	1.049	4.800615	30	101.1471	6.966341	436
1.609667	1.061333	9.077991	20	138.3418	22.49854	437
1.609667	1.061333	5.179321	10	42.37022	20.8736	438
1.609667	1.061333	7.076177	30	217.4005	22.75802	439
1.609667	1.061333	8.931287	70	25.27293	19.29057	440
1.606	1.049	8.255398	30	258.5736	48.25108	441
1.606	1.049	10.51528	35	236.5049	41.79805	442
1.609667	1.061333	6.801489	10	205.0472	33.70216	443
1.606	1.049	10.50256	44	125.1441	24.05936	444
1.609667	1.061333	6.365244	30	77.84669	16.61249	445
1.609667	1.061333	8.981354	55	104.39	12.29989	446
1.606	1.049	6.362973	50	31.44458	6.599692	447
1.606	1.049	8.978424	30	177.4116	20.16573	448
1.606	1.049	6.502005	20	357.7023	15.55562	449
1.609667	1.061333	14.49679	30	142.8867	22.8305	450
1.609667	1.061333	8.93651	10	225.644	41.96463	451
1.609667	1.061333	7.040353	38	168.1906	16.01759	452
1.609667	1.061333	5.778211	30	93.01974	19.35157	453
1.606	1.049	12.02715	70	163.2939	25.66547	454
